participant number,block,trial,item nr,value on left,probability on left,value on right,probability on right,chosen,RT,confidence,confidence RT
202,3,2,56,1,75,6,25,1,2161,30,1455
202,3,3,57,4,10,9,25,2,2006,62.5,1149
202,3,4,58,4,75,7,10,1,1973,57.5,1064
202,3,5,59,7,10,1,75,1,1619,58.75,1285
202,3,6,60,6,25,4,10,1,1502,72.5,984
202,3,7,61,1,75,6,90,2,1298,77.5,970
202,3,8,62,4,75,3,90,1,1985,70,838
202,3,9,63,9,25,1,40,1,1599,71.25,853
202,3,10,64,7,40,4,10,1,1190,73.75,878
202,3,11,65,7,10,6,90,2,1317,90,1336
202,3,12,66,7,10,9,60,2,1290,81.25,1129
202,3,13,67,4,75,6,90,2,1435,86.25,1503
202,3,14,68,9,60,3,90,1,1675,51.25,2833
202,3,15,69,9,60,6,25,1,1001,76.25,999
202,3,16,70,9,25,7,10,1,2157,68.75,1149
202,3,17,71,7,40,3,90,1,1341,67.5,1128
202,3,18,72,4,10,7,40,2,1163,71.25,871
202,3,19,73,3,60,7,10,2,1547,53.75,2559
202,3,20,74,4,75,7,40,2,1747,58.75,823
202,3,21,75,1,40,3,60,2,2252,72.5,852
202,3,22,76,1,40,9,25,2,1919,57.5,700
202,3,23,77,1,75,3,90,2,1687,68.75,1185
202,3,24,78,1,75,7,10,2,1578,58.75,874
202,3,25,79,1,75,4,10,2,1657,57.5,678
202,3,26,80,4,75,6,25,1,1037,56.25,914
202,3,27,81,9,60,6,90,1,914,60,1240
202,4,1,82,1,40,4,10,2,1771,57.5,740
202,4,2,83,3,90,7,10,1,2062,61.25,925
202,4,3,84,3,60,7,40,2,1807,62.5,730
202,4,4,85,7,10,9,25,2,2209,81.25,862
202,4,5,86,7,10,3,60,2,1652,73.75,917
202,4,6,87,7,10,3,90,2,1181,71.25,2441
202,4,7,88,7,40,6,25,1,1633,63.75,1186
202,4,8,89,9,25,1,75,1,1713,61.25,806
202,4,9,90,7,40,6,90,2,1812,70,673
202,4,10,91,9,25,3,60,1,1715,65,873
202,4,11,92,1,40,6,90,2,1305,67.5,1363
202,4,12,93,6,25,7,40,2,1614,63.75,1038
202,4,13,94,9,25,3,90,2,1508,65,1077
202,4,14,95,9,60,7,40,1,3822,65,920
202,4,15,96,6,25,1,75,1,1657,58.75,511
202,4,16,97,1,75,7,40,2,1955,68.75,747
202,4,17,98,6,90,3,60,1,1343,73.75,757
202,4,18,99,1,75,9,25,2,1565,67.5,1038
202,4,19,100,7,40,9,60,2,1788,68.75,1198
202,4,20,101,4,10,3,60,2,1253,61.25,765
202,4,21,102,9,25,6,90,2,1726,60,659
202,4,22,103,6,90,7,40,1,1558,65,1094
202,4,23,104,7,40,3,60,2,1797,23.75,2360
202,4,24,105,3,60,1,40,1,1531,55,606
202,4,25,106,4,10,6,25,2,2189,58.75,781
202,4,26,107,6,90,9,60,2,1677,62.5,607
202,4,27,108,3,60,1,75,1,1787,63.75,966
203,1,1,1,7,40,6,25,1,1388,75,1434
203,1,2,2,4,75,1,40,1,1023,87.5,1292
203,1,3,3,6,25,1,75,2,1588,97.5,1330
203,1,4,4,7,40,3,90,2,1912,32.5,2045
203,1,5,5,3,60,4,75,2,1680,100,1117
203,1,6,6,9,60,7,10,1,1197,100,1120
203,1,7,7,6,90,4,75,1,2385,100,1354
203,1,8,8,9,25,4,10,1,2303,100,1118
203,1,9,9,4,75,9,60,2,2349,61.25,772
203,1,10,10,4,10,7,40,2,1238,100,1222
203,1,11,11,4,10,6,25,2,933,98.75,984
203,1,12,12,9,25,1,75,2,1418,43.75,4428
203,1,13,13,9,25,7,40,2,2434,67.5,883
203,1,14,14,9,25,4,75,2,1503,61.25,596
203,1,15,15,7,10,1,75,1,1831,23.75,1457
203,1,16,16,1,40,3,60,2,1065,100,1087
203,1,17,17,6,90,7,40,1,714,100,1235
203,1,18,18,7,10,9,25,2,854,82.5,1012
203,1,19,19,3,60,7,10,1,981,62.5,685
203,1,20,20,9,60,3,90,1,2279,63.75,1094
203,1,21,21,1,40,3,90,2,1563,100,1164
203,1,22,22,4,10,9,60,2,2288,100,1151
203,1,23,23,7,10,3,90,2,1300,41.25,1135
203,1,24,24,1,40,6,90,2,842,100,1123
203,1,25,25,4,10,3,60,2,1318,62.5,816
203,1,26,26,6,90,3,60,1,2131,100,1074
203,1,27,27,3,60,9,25,2,4641,42.5,1088
203,2,1,28,3,60,7,40,2,3845,72.5,1114
203,2,2,29,1,75,3,60,2,3321,63.75,1188
203,2,3,30,7,10,1,40,1,4111,25,1158
203,2,4,31,4,75,6,25,1,3005,61.25,802
203,2,5,32,6,25,3,60,2,3222,75,867
203,2,6,33,4,75,9,25,1,2576,36.25,1438
203,2,7,34,1,75,4,10,1,1125,81.25,1428
203,2,8,35,7,40,6,90,2,1605,65,1180
203,2,9,36,3,90,9,60,2,3309,62.5,729
203,2,10,37,7,10,6,25,2,2881,76.25,1678
203,2,11,38,6,25,7,40,2,1187,82.5,1130
203,2,12,39,3,90,7,10,1,2175,63.75,754
203,2,13,40,1,40,9,25,2,2763,65,871
203,2,14,41,4,10,1,40,2,2830,100,986
203,2,15,42,6,90,7,10,1,1686,97.5,1098
203,2,16,43,4,75,6,90,2,2359,95,1278
203,2,17,44,9,25,6,90,2,1780,85,905
203,2,18,45,3,60,4,10,1,4769,81.25,970
203,2,19,46,7,40,4,10,1,3090,77.5,1045
203,2,20,47,6,90,9,25,1,2503,80,994
203,2,21,48,9,60,4,10,1,1593,100,1035
203,2,22,49,9,60,1,75,1,2583,67.5,639
203,2,23,50,7,40,4,75,2,2214,78.75,657
203,2,24,51,1,75,6,90,2,2089,21.25,2245
203,2,25,52,9,25,1,40,1,2662,20,1237
203,2,26,53,7,10,6,90,2,3523,96.25,1115
203,2,27,54,7,10,4,75,2,5607,67.5,673
203,3,1,55,3,90,6,25,1,2138,82.5,1594
203,3,2,56,4,10,9,25,2,1646,98.75,1056
203,3,3,57,7,10,9,60,2,1212,100,1023
203,3,4,58,3,90,1,75,2,1818,0,1018
203,3,5,59,6,25,7,10,1,2987,56.25,662
203,3,6,60,4,75,7,40,1,4189,65,646
203,3,7,61,7,10,3,60,2,3094,77.5,1081
203,3,8,62,4,75,3,60,1,2570,80,1103
203,3,9,63,9,25,7,10,1,1236,98.75,959
203,3,10,64,1,75,7,10,1,1074,78.75,808
203,3,11,65,3,60,6,90,2,3114,100,1176
203,3,12,66,3,60,6,25,1,2058,53.75,779
203,3,13,67,3,60,1,40,1,1621,56.25,696
203,3,14,68,1,75,7,40,2,7558,31.25,1475
203,3,15,69,3,90,4,10,1,1599,97.5,988
203,3,16,70,6,25,4,10,1,1800,71.25,1162
203,3,17,71,7,40,9,60,2,2209,97.5,1112
203,3,18,72,1,40,4,10,2,1313,36.25,605
203,3,19,73,1,75,9,60,2,1598,73.75,863
203,3,20,74,6,25,9,60,2,1005,98.75,1130
203,3,21,75,1,40,7,10,2,5649,32.5,792
203,3,22,76,1,40,6,25,2,1923,56.25,1624
203,3,23,77,3,90,1,40,1,1474,100,1546
203,3,24,78,9,60,6,90,2,2313,80,834
203,3,25,79,3,90,9,25,1,1688,42.5,529
203,3,26,80,3,90,4,75,1,1602,60,618
203,3,27,81,6,90,9,60,1,3254,70,899
203,4,1,82,3,60,1,75,1,2922,56.25,655
203,4,2,83,6,25,4,75,2,2743,53.75,723
203,4,3,84,9,25,3,90,2,2143,41.25,1178
203,4,4,85,9,25,3,60,1,2389,58.75,1102
203,4,5,86,6,90,4,10,1,2267,100,1124
203,4,6,87,1,75,6,25,2,2031,41.25,779
203,4,7,88,4,75,3,90,2,1454,80,1048
203,4,8,89,1,75,3,90,2,1386,97.5,1049
203,4,9,90,1,40,9,60,2,929,97.5,1188
203,4,10,91,6,90,1,40,1,1200,98.75,1019
203,4,11,92,9,60,6,25,1,1318,96.25,867
203,4,12,93,6,90,1,75,1,2328,100,1496
203,4,13,94,1,75,9,25,2,2125,11.25,1157
203,4,14,95,6,25,3,90,2,2741,67.5,855
203,4,15,96,9,60,4,75,1,2147,71.25,706
203,4,16,97,3,90,7,40,1,1566,43.75,600
203,4,17,98,7,40,3,60,2,840,37.5,1341
203,4,18,99,7,40,1,75,1,2349,38.75,656
203,4,19,100,9,60,7,40,1,1772,96.25,1125
203,4,20,101,7,40,9,25,1,2913,56.25,553
203,4,21,102,6,25,1,40,1,1779,45,1076
203,4,22,103,1,40,4,75,2,1207,98.75,1154
203,4,23,104,9,60,1,40,1,966,82.5,1818
203,4,24,105,4,10,1,75,2,2457,90,781
203,4,25,106,4,10,6,90,2,1196,93.75,1089
203,4,26,107,4,10,3,90,2,652,93.75,941
203,4,27,108,4,75,7,10,1,1089,43.75,540
204,1,1,1,9,25,1,75,1,5283,100,3591
204,1,2,2,6,90,4,10,1,2202,100,1453
204,1,3,3,6,90,4,75,1,2263,100,1465
204,1,4,4,4,75,9,25,2,4782,100,1761
204,1,5,5,6,90,3,60,1,2848,100,1902
204,1,6,6,7,10,3,90,2,4632,47.5,3624
204,1,7,7,7,10,9,60,2,1516,100,1273
204,1,8,8,7,40,3,60,1,2668,100,1408
204,1,9,9,4,10,3,60,2,2871,100,1192
204,1,10,10,4,75,9,60,2,3435,90,2966
204,1,11,11,4,10,9,60,2,2952,50,0
204,1,12,12,1,75,7,10,2,4700,88.75,2455
204,1,13,13,3,60,4,75,2,2802,100,1146
204,1,14,14,9,25,7,10,1,3067,100,1980
204,1,15,15,1,40,9,25,2,3322,100,1410
204,1,16,16,4,10,9,25,2,3354,100,1163
204,1,17,17,9,25,6,90,2,6536,100,1017
204,1,18,18,4,75,1,40,1,2253,100,938
204,1,19,19,3,60,4,10,1,4347,100,1000
204,1,20,20,1,75,9,25,2,2646,100,1176
204,1,21,21,9,60,7,10,1,1777,100,1114
204,1,22,22,4,10,1,40,1,3194,87.5,5312
204,1,23,23,1,40,4,75,2,2515,100,1211
204,1,24,24,3,60,9,25,2,5036,100,1382
204,1,25,25,1,40,4,10,2,5884,100,1091
204,1,26,26,3,90,1,40,1,1971,100,1163
204,1,27,27,1,75,6,25,2,3857,92.5,2066
204,2,1,28,3,60,6,25,2,8728,100,1155
204,2,2,29,6,90,9,60,2,4018,100,1164
204,2,3,30,7,40,4,75,1,8196,90,2545
204,2,4,31,6,90,7,10,1,4116,100,1297
204,2,5,32,4,10,7,40,2,2947,100,1146
204,2,6,33,6,25,4,10,1,2264,100,1258
204,2,7,34,9,25,4,75,1,7301,100,1986
204,2,8,35,1,75,3,90,2,2099,100,1042
204,2,9,36,4,10,3,90,2,3183,100,1023
204,2,10,37,7,40,9,25,1,9733,100,1180
204,2,11,38,7,40,4,10,1,2992,100,1210
204,2,12,39,1,40,6,25,2,2091,100,1168
204,2,13,40,3,60,7,40,2,2701,100,1117
204,2,14,41,6,90,1,40,1,1177,100,1212
204,2,15,42,7,40,6,25,1,3618,100,1188
204,2,16,43,9,60,6,90,2,4519,100,1084
204,2,17,44,3,90,7,40,2,4360,100,1322
204,2,18,45,6,25,1,40,1,3578,100,1149
204,2,19,46,1,40,9,60,2,1703,100,1286
204,2,20,47,6,25,7,40,2,6976,100,1417
204,2,21,48,9,60,4,75,1,2358,100,1779
204,2,22,49,3,60,6,90,2,3170,100,1341
204,2,23,50,4,10,6,25,2,1478,100,1312
204,2,24,51,1,75,9,60,2,1770,100,1925
204,2,25,52,3,90,9,60,2,2257,100,1220
204,2,26,53,3,90,6,25,2,3384,100,1435
204,2,27,54,3,90,4,10,1,4132,100,1227
204,3,1,55,6,90,1,75,1,2394,100,1513
204,3,2,56,6,25,4,75,2,3628,100,1200
204,3,3,57,1,75,6,90,2,1170,100,1382
204,3,4,58,4,75,3,60,1,3263,100,1148
204,3,5,59,1,75,7,40,2,3001,100,1161
204,3,6,60,7,10,9,25,2,4357,100,1319
204,3,7,61,6,25,1,75,1,3002,100,1220
204,3,8,62,6,25,3,60,1,4568,100,1237
204,3,9,63,3,90,4,75,2,5003,100,1178
204,3,10,64,9,25,1,40,1,3700,100,1255
204,3,11,65,9,60,4,10,1,3500,100,1312
204,3,12,66,9,60,1,40,1,1610,100,1283
204,3,13,67,4,75,6,90,2,3265,100,1247
204,3,14,68,9,25,3,60,1,3559,100,1438
204,3,15,69,7,10,6,90,2,1241,100,1299
204,3,16,70,9,60,6,25,1,4015,100,1263
204,3,17,71,4,75,7,10,1,4826,100,1212
204,3,18,72,1,40,3,60,2,3882,100,1165
204,3,19,73,1,40,3,90,2,1079,100,1158
204,3,20,74,7,10,1,75,1,5305,75,3263
204,3,21,75,7,10,4,75,2,7944,100,1218
204,3,22,76,6,25,3,90,2,4604,50,449
204,3,23,77,3,90,7,10,1,6356,100,1066
204,3,24,78,3,90,1,75,1,1545,100,1126
204,3,25,79,7,10,1,40,1,3774,100,1121
204,3,26,80,9,60,3,90,1,4115,100,997
204,3,27,81,7,40,6,90,2,2702,100,1289
204,4,1,82,6,25,9,60,2,1721,100,1188
204,4,2,83,7,40,1,75,1,3246,100,1310
204,4,3,84,9,60,1,75,1,1956,100,1066
204,4,4,85,7,40,9,60,2,2479,100,1334
204,4,5,86,4,75,3,90,1,3759,100,1104
204,4,6,87,1,75,4,10,1,5426,100,1291
204,4,7,88,9,25,7,40,1,6108,85,2399
204,4,8,89,7,40,3,90,1,5337,80,2223
204,4,9,90,9,60,7,40,1,2490,100,1388
204,4,10,91,6,25,7,10,1,4919,100,1163
204,4,11,92,3,60,7,10,1,3053,100,1078
204,4,12,93,1,40,6,90,2,1430,100,1215
204,4,13,94,7,10,6,25,2,3989,100,1057
204,4,14,95,4,75,7,40,2,6326,100,1081
204,4,15,96,3,60,1,40,1,2547,100,1053
204,4,16,97,4,10,6,90,2,1433,100,1124
204,4,17,98,4,10,1,75,2,6899,100,1041
204,4,18,99,6,90,7,40,1,1638,100,1270
204,4,19,100,9,25,3,90,1,3938,100,1396
204,4,20,101,3,60,1,75,1,2565,100,1164
204,4,21,102,3,90,9,25,2,4554,100,1197
204,4,22,103,9,25,4,10,1,2467,100,936
204,4,23,104,1,75,3,60,2,5387,100,1046
204,4,24,105,4,75,6,25,1,6032,100,1138
204,4,25,106,6,90,9,25,1,4276,100,1122
204,4,26,107,7,10,3,60,2,5445,100,1060
204,4,27,108,1,40,7,10,2,3963,100,1125
205,1,1,1,6,25,3,60,1,6406,100,1896
205,1,2,2,3,60,4,75,2,2333,100,1177
205,1,3,3,3,60,6,90,2,3703,100,1570
205,1,4,4,3,90,9,60,2,3633,100,1179
205,1,5,5,9,25,4,75,2,3271,100,1056
205,1,6,6,9,25,4,10,1,1498,100,3250
205,1,7,7,9,60,4,10,1,1536,100,801
205,1,8,8,3,90,9,25,1,2199,100,1062
205,1,9,9,1,75,4,10,1,2267,81.25,668
205,1,10,10,9,60,7,40,1,1641,100,780
205,1,11,11,7,10,1,75,1,5308,36.25,848
205,1,12,12,9,60,6,90,2,1544,83.75,896
205,1,13,13,6,90,4,75,1,2589,100,1078
205,1,14,14,4,10,1,75,2,4873,81.25,870
205,1,15,15,7,40,3,60,2,3572,43.75,1462
205,1,16,16,1,40,6,90,2,1999,100,1527
205,1,17,17,3,90,6,25,1,5941,93.75,767
205,1,18,18,3,90,7,10,1,2055,36.25,953
205,1,19,19,4,75,9,60,2,2494,62.5,833
205,1,20,20,4,10,6,25,2,6070,82.5,1570
205,1,21,21,9,60,6,25,1,6240,97.5,1946
205,1,22,22,6,90,3,60,1,2492,100,765
205,1,23,23,3,90,7,40,1,2662,62.5,729
205,1,24,24,6,25,3,90,2,4524,65,843
205,1,25,25,1,75,7,40,2,2699,57.5,1593
205,1,26,26,4,75,1,40,1,2685,100,1042
205,1,27,27,4,10,3,60,2,5917,70,830
205,2,1,28,7,40,4,10,1,3290,100,1133
205,2,2,29,9,60,1,75,1,4538,81.25,1097
205,2,3,30,6,90,7,40,1,4109,100,1106
205,2,4,31,3,90,1,40,1,2261,100,998
205,2,5,32,7,10,9,60,2,2096,100,1046
205,2,6,33,3,60,7,40,1,4508,86.25,668
205,2,7,34,1,40,9,60,2,2409,100,1151
205,2,8,35,1,75,6,90,2,1400,100,1025
205,2,9,36,6,25,1,75,1,3639,37.5,775
205,2,10,37,7,40,6,25,1,4251,87.5,1796
205,2,11,38,1,40,6,25,2,4423,100,963
205,2,12,39,7,10,9,25,2,2915,100,1831
205,2,13,40,7,10,6,25,2,3837,90,1009
205,2,14,41,4,10,1,40,2,7815,86.25,830
205,2,15,42,1,75,3,60,2,2545,100,990
205,2,16,43,9,60,4,75,1,4106,23.75,859
205,2,17,44,4,75,9,25,1,2364,70,1014
205,2,18,45,7,10,4,75,2,4546,93.75,921
205,2,19,46,7,40,3,90,2,4239,71.25,1127
205,2,20,47,6,25,4,75,2,1985,98.75,910
205,2,21,48,7,40,1,75,2,3664,50,522
205,2,22,49,7,10,3,90,2,6930,96.25,917
205,2,23,50,7,40,6,90,1,2243,50,983
205,2,24,51,3,90,4,75,2,3291,17.5,1784
205,2,25,52,1,40,4,75,2,2252,100,1058
205,2,26,53,1,40,4,10,1,7559,61.25,2036
205,2,27,54,7,40,9,60,2,2194,100,1234
205,3,1,55,9,25,7,10,1,2779,100,1086
205,3,2,56,6,25,1,40,1,5416,50,1186
205,3,3,57,6,90,9,60,1,3427,76.25,582
205,3,4,58,6,90,1,75,1,3889,100,859
205,3,5,59,6,25,7,40,2,3305,100,1056
205,3,6,60,9,60,1,40,1,11061,82.5,1793
205,3,7,61,4,75,3,90,2,1909,98.75,814
205,3,8,62,6,90,4,10,1,3332,100,1543
205,3,9,63,4,75,7,40,1,3869,63.75,1428
205,3,10,64,1,40,7,10,2,9011,17.5,868
205,3,11,65,6,25,4,10,1,3235,100,2015
205,3,12,66,7,10,6,90,2,1813,98.75,1009
205,3,13,67,3,60,6,25,1,5363,40,618
205,3,14,68,3,60,1,75,1,3243,75,416
205,3,15,69,3,60,1,40,1,1878,100,862
205,3,16,70,7,10,1,40,1,3818,47.5,4459
205,3,17,71,4,10,7,40,2,2059,100,864
205,3,18,72,6,90,1,40,1,1462,100,778
205,3,19,73,9,25,3,60,1,4600,58.75,2836
205,3,20,74,4,75,3,60,1,3303,100,1246
205,3,21,75,3,90,4,10,1,2740,100,1167
205,3,22,76,4,10,9,60,2,3461,100,1182
205,3,23,77,4,10,9,25,2,3958,100,1088
205,3,24,78,7,40,4,75,2,5764,45,1957
205,3,25,79,4,75,6,90,2,3633,100,1732
205,3,26,80,9,25,7,40,1,7375,56.25,1247
205,3,27,81,3,60,9,25,1,6596,81.25,1340
205,4,1,82,4,75,7,10,1,1914,91.25,2768
205,4,2,83,3,60,7,10,1,2869,86.25,923
205,4,3,84,1,75,7,10,2,6108,33.75,848
205,4,4,85,7,10,3,60,2,2536,77.5,926
205,4,5,86,6,25,7,10,2,3092,58.75,1600
205,4,6,87,4,10,6,90,2,1606,100,950
205,4,7,88,9,60,7,10,1,2002,100,1542
205,4,8,89,6,90,7,10,2,3422,0,1658
